date,constituency,code,households,owned,owned_outright,owned_mortgage,owned_shared_ownership,rented_social,rented_social_local_authority,rented_social_other,rented_private,rented_private_landlord,rented_private_other,rent_free
2011,Torbay,E14000999,43898,28475,14971,13504,378,3272,348,2924,11345,10530,815,428
2011,Torridge and West Devon,E14001000,42129,30515,18309,12206,287,3876,936,2940,6702,6005,697,749
2011,Totnes,E14001001,37590,26424,16552,9872,408,4513,625,3888,5715,5066,649,530
2011,Truro and Falmouth,E14001003,39280,26326,15453,10873,331,4875,3437,1438,7020,6297,723,728
2011,Wells,E14001026,44049,31609,17584,14025,361,4783,1628,3155,6644,5995,649,652
2011,West Dorset,E14001031,42766,29609,18855,10754,359,5966,353,5613,5926,5278,648,906
2011,Weston-Super-Mare,E14001038,46190,31026,15440,15586,241,4854,2017,2837,9538,8814,724,531
2011,Yeovil,E14001060,46096,31742,16782,14960,387,6984,2132,4852,6360,5357,1003,623
2011,Ynys Mon,W07000041,30594,20971,12444,8527,63,4487,3899,588,4324,3699,625,749
2011,Delyn,W07000042,29367,21469,10874,10595,147,4557,3440,1117,2895,2506,389,299
2011,Alyn and Deeside,W07000043,34414,24982,11523,13459,193,5094,3769,1325,3834,3408,426,311
2011,Wrexham,W07000044,29873,18813,9123,9690,114,6533,5550,983,3910,3558,352,503
2011,Llanelli,W07000045,34961,24128,13205,10923,70,5963,4633,1330,4221,3760,461,579
2011,Gower,W07000046,33551,25985,13955,12030,76,3666,2687,979,3281,2856,425,543
2011,Swansea West,W07000047,35039,19038,10592,8446,126,7902,4625,3277,7355,6728,627,618
2011,Swansea East,W07000048,34907,21236,10029,11207,106,8310,5792,2518,4624,4104,520,631
2011,Aberavon,W07000049,28569,19094,9896,9198,59,5689,3843,1846,3172,2780,392,555
2011,Cardiff Central,W07000050,33469,16598,7836,8762,147,4135,1608,2527,12162,11404,758,427
2011,Cardiff North,W07000051,35865,26857,12916,13941,216,3559,2092,1467,4825,4379,446,408
2011,Rhondda,W07000052,30417,21357,12239,9118,35,3715,1876,1839,4831,4388,443,479
2011,Torfaen,W07000053,34065,22101,10255,11846,190,8472,3623,4849,2958,2587,371,344
2011,Monmouth,W07000054,35606,26162,14743,11419,123,4878,1439,3439,3922,3458,464,521
2011,Newport East,W07000055,31930,21189,9874,11315,151,5861,2824,3037,4291,3920,371,438
2011,Newport West,W07000056,36328,23480,10802,12678,201,7299,3525,3774,4846,4450,396,502
2011,Arfon,W07000057,24204,15117,8063,7054,65,4691,2538,2153,3766,3313,453,565
2011,Aberconwy,W07000058,25328,17665,10449,7216,134,3008,1164,1844,4100,3696,404,421
2011,Clwyd West,W07000059,32212,22593,12661,9932,270,3598,1858,1740,5214,4700,514,537
2011,Vale of Clwyd,W07000060,30825,20809,10895,9914,225,4125,2503,1622,5181,4692,489,485
2011,Dwyfor Meirionnydd,W07000061,28269,19207,13105,6102,106,3870,1847,2023,4294,3665,629,792
2011,Clwyd South,W07000062,30514,19685,9582,10103,113,6810,5742,1068,3350,2943,407,556
2011,Montgomeryshire,W07000063,27557,18691,11604,7087,88,4101,2629,1472,4093,3619,474,584
2011,Ceredigion,W07000064,31562,21323,13821,7502,110,3196,1008,2188,6275,5653,622,658
2011,Preseli Pembrokeshire,W07000065,33173,22991,14056,8935,93,5287,3717,1570,4237,3563,674,565
2011,Carmarthen West and South Pembrokeshire,W07000066,33303,22926,13896,9030,82,4813,3219,1594,4879,4333,546,603
2011,Carmarthen East and Dinefwr,W07000067,30514,22839,13798,9041,73,3921,3086,835,3152,2720,432,529
2011,Brecon and Radnorshire,W07000068,30788,21399,14022,7377,91,4060,2742,1318,4545,3903,642,693
